Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Modalidade;Chamada Divulgação;Chamada;Grande Área;Área;Qtd Propostas;Valor Bolsa (R$);Valor OCC (R$);Total Geral (R$)
2006;Atendimento;Centro-Oeste;DF;Apoio ao Desenvolvimento Científico e Tecnológico;Chamada MCT/CNPq Nº 07/2006 - Apoio a Grupos de Pesquisa Vinculados a Programas de Pós-Graduação;Edital MCT/CNPq nº 07/2006 - Apoio a Grupos de Pesquisa Vinculados a Programas de Pós-Graduação;Ciências Exatas e da Terra;Química;1;0;350.000;350.000
2006;Atendimento;Centro-Oeste;DF;Apoio ao Desenvolvimento Científico e Tecnológico;Chamada MCT/CNPq Nº 07/2006 - Apoio a Grupos de Pesquisa Vinculados a Programas de Pós-Graduação;Edital MCT/CNPq nº 07/2006 - Apoio a Grupos de Pesquisa Vinculados a Programas de Pós-Graduação;Engenharias;Engenharia Mecânica;1;0;410.000;410.000
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 27/2006 - Cooperação Internacional;Bélgica - CNPq/FNRS;Ciências Agrárias;Agronomia;1;0;31.000;31.000
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 27/2006 - Cooperação Internacional;EUA - CNPq/NSF;Ciências Biológicas;Zoologia;1;0;28.000;28.000
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 27/2006 - Cooperação Internacional;França - CNPq/IRD;Ciências Biológicas;Bioquímica;1;0;44.000;44.000
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 03/2006 - RHAE-Inovação;Edital MCT/CNPq nº 03/2006 - RHAE Inovação;Ciências Biológicas;Farmacologia;1;199.671;0;199.671
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 03/2006 - RHAE-Inovação;Edital MCT/CNPq nº 03/2006 - RHAE Inovação;Ciências Biológicas;Fisiologia;1;45.206;0;45.206
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 03/2006 - RHAE-Inovação;Edital MCT/CNPq nº 03/2006 - RHAE Inovação;Ciências Exatas e da Terra;Geociências;1;160.215;0;160.215
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 03/2006 - RHAE-Inovação;Edital MCT/CNPq nº 03/2006 - RHAE Inovação;Ciências Humanas;Educação;1;173.782;0;173.782
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 12/2006;Edital MCT/CNPq nº 12/2006 - Difusão e Popularização da C&T;Ciências Biológicas;Ecologia;1;36.511;23.198;59.709
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 12/2006;Edital MCT/CNPq nº 12/2006 - Difusão e Popularização da C&T;Ciências Humanas;Educação;1;18.433;42.200;60.633
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 12/2006;Edital MCT/CNPq nº 12/2006 - Difusão e Popularização da C&T;Outra;Divulgação Científica;1;67.444;242.740;310.184
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 14/2006;Edital 14/2006 - PROSUL - Chamada 1:Apoio Financeiro a Atividades de Cooperação Internacional para a Formação de Redes de Projetos Temáticos;Ciências Agrárias;Agronomia;1;0;93.000;93.000
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 14/2006;Edital 14/2006 - PROSUL - Chamada 2: Apoio Financeiro a Atividades de Cooperação Internacional para a Execução de Projetos Conjuntos de P&D&I;Ciências Agrárias;Agronomia;1;0;45.000;45.000
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 15/2006;Edital 15/2006 - PROÁFRICA - Chamada 1: Apoio Financeiro à Realização de Missões Exploratórias;Ciências Agrárias;Ciência e Tecnologia de Alimentos;1;0;24.200;24.200
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 30/2006 - Programa Ciências Sociais - CPLP;Edital 30/2006 - CPLP - Chamada 1: Missões Exploratórias;Ciências Humanas;Antropologia;1;0;28.833;28.833
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 30/2006 - Programa Ciências Sociais - CPLP;Edital 30/2006 - CPLP - Chamada 2: Cooperação em Projetos Conjuntos de P&D&I;Outra;Multidisciplinar;1;0;65.014;65.014
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 42/2006;Edital MCT/CNPq nº 42/2006 - Programa Nacional de Nanotecnologia - Jovens Pesquisadores;Engenharias;Engenharia de Materiais e Metalúrgica;1;0;59.000;59.000
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 61/2005 - Ciências Humanas, Sociais e Sociais Aplicadas;Edital MCT/CNPq 61/2005 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Humanas;Antropologia;4;0;23.080;23.080
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 61/2005 - Ciências Humanas, Sociais e Sociais Aplicadas;Edital MCT/CNPq 61/2005 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Humanas;Ciência Política;1;0;5.000;5.000
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 61/2005 - Ciências Humanas, Sociais e Sociais Aplicadas;Edital MCT/CNPq 61/2005 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Humanas;Educação;1;0;10.000;10.000
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 61/2005 - Ciências Humanas, Sociais e Sociais Aplicadas;Edital MCT/CNPq 61/2005 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Humanas;História;1;0;4.000;4.000
2006;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 61/2005 - Ciências Humanas, Sociais e Sociais Aplicadas;Edital MCT/CNPq 61/2005 - Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Humanas;Psicologia;5;0;24.600;24.600
