Ano Fase;Fase Estat;Modalidade;País Inst Benef Macro;Chamada Divulgação;Grande Área;Área;Qtd Bolsas
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;1
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Ciências Biológicas;Genética;1
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Ciências Biológicas;Microbiologia;1
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Ciências da Saúde;Medicina;1
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Ciências da Saúde;Saúde Coletiva;2
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Ciências Exatas e da Terra;Ciência da Computação;1
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Ciências Exatas e da Terra;Física;1
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Ciências Humanas;Geografia;1
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Ciências Sociais Aplicadas;Arquitetura e Urbanismo;1
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Ciências Sociais Aplicadas;Comunicação;1
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Ciências Sociais Aplicadas;Economia;1
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Engenharias;Engenharia Aeroespacial;1
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Engenharias;Engenharia Mecatrônica;1
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Engenharias;Engenharia Química;1
2006;Atendimento;Doutorado no Exterior;Alemanha;CNPq/DAAD 2006 - Doutorado no Exterior - GDE;Lingüística, Letras e Artes;Artes;1
2006;Atendimento;Doutorado no Exterior;Canadá;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências Agrárias;Agronomia;1
2006;Atendimento;Doutorado no Exterior;Canadá;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências Exatas e da Terra;Ciência da Computação;1
2006;Atendimento;Doutorado no Exterior;Canadá;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências Exatas e da Terra;Oceanografia;1
2006;Atendimento;Doutorado no Exterior;Canadá;Doutorado no Exterior - GDE (exceto para a Alemanha);Lingüística, Letras e Artes;Lingüística;1
2006;Atendimento;Doutorado no Exterior;Espanha;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências da Saúde;Farmácia;1
2006;Atendimento;Doutorado no Exterior;Estados Unidos;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências Biológicas;Botânica;1
2006;Atendimento;Doutorado no Exterior;Estados Unidos;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências Biológicas;Ecologia;1
2006;Atendimento;Doutorado no Exterior;Estados Unidos;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências da Saúde;Odontologia;1
2006;Atendimento;Doutorado no Exterior;Estados Unidos;Doutorado no Exterior - GDE (exceto para a Alemanha);Engenharias;Engenharia Civil;1
2006;Atendimento;Doutorado no Exterior;Estados Unidos;Doutorado no Exterior - GDE (exceto para a Alemanha);Engenharias;Engenharia Mecânica;1
2006;Atendimento;Doutorado no Exterior;Estados Unidos;Doutorado no Exterior - GDE (exceto para a Alemanha);Engenharias;Engenharia Naval e Oceânica;1
2006;Atendimento;Doutorado no Exterior;França;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências Biológicas;Bioquímica;1
2006;Atendimento;Doutorado no Exterior;França;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências Exatas e da Terra;Ciência da Computação;1
2006;Atendimento;Doutorado no Exterior;França;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências Sociais Aplicadas;Desenho Industrial;1
2006;Atendimento;Doutorado no Exterior;França;Doutorado no Exterior - GDE (exceto para a Alemanha);Engenharias;Engenharia Elétrica;2
2006;Atendimento;Doutorado no Exterior;França;Doutorado no Exterior - GDE (exceto para a Alemanha);Engenharias;Engenharia Nuclear;1
2006;Atendimento;Doutorado no Exterior;França;Doutorado no Exterior - GDE (exceto para a Alemanha);Engenharias;Engenharia Sanitária;1
2006;Atendimento;Doutorado no Exterior;Inglaterra;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências Biológicas;Zoologia;1
2006;Atendimento;Doutorado no Exterior;Inglaterra;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências Exatas e da Terra;Probabilidade e Estatística;1
2006;Atendimento;Doutorado no Exterior;Inglaterra;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências Humanas;Antropologia;1
2006;Atendimento;Doutorado no Exterior;Inglaterra;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências Humanas;Ciência Política;1
2006;Atendimento;Doutorado no Exterior;Inglaterra;Doutorado no Exterior - GDE (exceto para a Alemanha);Ciências Humanas;Sociologia;1
