Ano Fase;Fase Estat;Região Inst Benef Macro;UF Inst Benef Macro;Instituição Beneficiária Macro;Modalidade;Grande Área;Área;Qtd Propostas;Total Geral (R$)
2006;Demanda;Centro-Oeste;GO;Universidade Federal de Goias;Apoio a Publicações Científicas;Ciências Biológicas;Microbiologia;1;30.000
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Agrárias;Agronomia;18;1.278.878
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Agrárias;Ciência e Tecnologia de Alimentos;3;195.804
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Agrárias;Engenharia Agrícola;3;72.968
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Agrárias;Medicina Veterinária;11;641.237
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;3;65.236
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Agrárias;Zootecnia;2;143.520
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Biológicas;Biofísica;1;24.000
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Biológicas;Biologia Geral;6;396.395
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Biológicas;Botânica;5;245.740
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Biológicas;Ecologia;2;123.080
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Biológicas;Genética;2;210.000
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Biológicas;Microbiologia;2;121.720
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Biológicas;Morfologia;1;77.576
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Biológicas;Parasitologia;2;111.000
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Biológicas;Zoologia;7;307.813
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Educação Física;10;565.057
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Enfermagem;7;401.332
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Farmácia;3;117.928
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Fisioterapia e Terapia Ocupacional;4;300.920
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Fonoaudiologia;2;89.920
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Medicina;28;3.386.538
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Nutrição;2;154.804
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Odontologia;5;157.815
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências da Saúde;Saúde Coletiva;10;765.663
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Ciência da Computação;1;37.000
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Ciências Ambientais;1;41.100
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Física;2;287.980
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Geociências;9;339.600
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Matemática;2;96.192
2006;Demanda;Não informada;\NI;Não informada;Apoio a Publicações Científicas;Ciências Exatas e da Terra;Oceanografia;2;40.890
