Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Modalidade;Chamada Divulgação;Chamada;Grande Área;Área;Qtd Propostas;Valor Bolsa (R$);Valor OCC (R$);Total Geral (R$)
2015;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Humanas;Antropologia;1;0;11.000;11.000
2015;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Humanas;Ciência Política;1;0;17.000;17.000
2015;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Humanas;Educação;1;0;19.500;19.500
2015;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Sociais Aplicadas;Direito;2;0;22.311;22.311
2015;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Sociais Aplicadas;Economia;2;0;18.342;18.342
2015;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Sociais Aplicadas;Serviço Social;1;0;5.609;5.609
2015;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Ciências Sociais Aplicadas;Turismo;1;0;6.266;6.266
2015;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq/ MCTI Nº 25/2015 Ciências Humanas, Sociais e Sociais Aplicadas;Lingüística, Letras e Artes;Letras;1;0;5.000;5.000
2015;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI/CNPq Nº 46/2014 - Programa de Cooperação em Ciência. Tecnologia e Inovação com Países da África - PROÁFRICA;Chamada MCTI/CNPq nº 46/2014 - Programa de Cooperação em Ciência. Tecnologia e Inovação com Países da África - PROÁFRICA;Ciências Exatas e da Terra;Geociências;1;0;147.050;147.050
2015;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI/CNPq Nº 46/2014 - Programa de Cooperação em Ciência. Tecnologia e Inovação com Países da África - PROÁFRICA;Chamada MCTI/CNPq nº 46/2014 - Programa de Cooperação em Ciência. Tecnologia e Inovação com Países da África - PROÁFRICA;Ciências Humanas;Antropologia;1;0;149.430;149.430
2015;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI/CNPq/ANA Nº 23/2015 - Pesquisa em Mudança do Clima;Linha 1: Previsão e avaliação dos impactos associados à mudança do clima, especialmente na disponibilidade hídrica e de seus reflexos para a segurança alimentar e energética do Brasil;Ciências Agrárias;Agronomia;1;0;471.197;471.197
2015;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI/CNPq/ANA Nº 23/2015 - Pesquisa em Mudança do Clima;Linha 1: Previsão e avaliação dos impactos associados à mudança do clima, especialmente na disponibilidade hídrica e de seus reflexos para a segurança alimentar e energética do Brasil;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;1;118.000;161.300;279.300
