Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Modalidade;Chamada Divulgação;Chamada;Grande Área;Área;Qtd Propostas;Valor Bolsa (R$);Valor OCC (R$);Total Geral (R$)
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Agrárias;Agronomia;10;96.000;0;96.000
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Agrárias;Recursos Florestais e Engenharia Florestal;1;9.600;0;9.600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Agrárias;Zootecnia;2;19.200;0;19.200
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Biológicas;Bioquímica;1;9.600;0;9.600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Biológicas;Botânica;1;9.600;0;9.600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Biológicas;Desenvolvimento e Inovação Tecnológica em Biologia;1;9.600;0;9.600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Biológicas;Ecologia;2;15.600;0;15.600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Exatas e da Terra;Química;1;9.600;0;9.600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Humanas;Antropologia;1;9.600;0;9.600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Humanas;Ciência Política;1;9.600;0;9.600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Humanas;Psicologia;2;19.200;0;19.200
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Ciências Sociais Aplicadas;Economia;1;9.600;0;9.600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Engenharias;Engenharia Civil;1;9.600;0;9.600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Engenharias;Engenharia de Materiais e Metalúrgica;1;9.600;0;9.600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Engenharias;Engenharia Mecânica;2;19.200;0;19.200
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NM (Nível Médio);Engenharias;Engenharia Sanitária;2;19.200;0;19.200
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Agrárias;Agronomia;13;171.600;0;171.600
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Agrárias;Engenharia Agrícola;2;26.400;0;26.400
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Agrárias;Medicina Veterinária;1;13.200;0;13.200
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Agrárias;Zootecnia;4;52.800;0;52.800
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Biológicas;Botânica;1;13.200;0;13.200
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Biológicas;Desenvolvimento e Inovação Tecnológica em Biologia;2;26.400;0;26.400
2010;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 10/2010 - Bolsas de Apoio Técnico;Edital MCT/CNPq 10/2010 - AT- NS (Nível Superior);Ciências Biológicas;Ecologia;3;39.600;0;39.600
