Ano Fase,Fase Estat,Região Inst Benef Macro,UF Inst Benef Macro,Instituição Beneficiária Macro,Modalidade,Grande Área,Área,Qtd Propostas,Total Geral (R$),
2006,Demanda,Centro-Oeste,GO,Universidade Federal de Goias,Apoio a Publicações Científicas,Ciências Biológicas,Microbiologia,1,30000,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Agrárias,Agronomia,18,1278878,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Agrárias,Ciência e Tecnologia de Alimentos,3,195804,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Agrárias,Engenharia Agrícola,3,72968,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Agrárias,Medicina Veterinária,11,641237,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,3,65236,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Agrárias,Zootecnia,2,143520,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Biológicas,Biofísica,1,24000,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Biológicas,Biologia Geral,6,396395,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Biológicas,Botânica,5,245740,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Biológicas,Ecologia,2,123080,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Biológicas,Genética,2,210000,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Biológicas,Microbiologia,2,121720,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Biológicas,Morfologia,1,77576,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Biológicas,Parasitologia,2,111000,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Biológicas,Zoologia,7,307813,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Educação Física,10,565057,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Enfermagem,7,401332,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Farmácia,3,117928,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Fisioterapia e Terapia Ocupacional,4,300920,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Fonoaudiologia,2,89920,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Medicina,28,3386538,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Nutrição,2,154804,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Odontologia,5,157815,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências da Saúde,Saúde Coletiva,10,765663,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Ciência da Computação,1,37000,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Ciências Ambientais,1,41100,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Física,2,287980,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Geociências,9,339600,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Matemática,2,96192,
2006,Demanda,Não informada,\NI,Não informada,Apoio a Publicações Científicas,Ciências Exatas e da Terra,Oceanografia,2,40890,
