Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Modalidade;Chamada Divulgação;Chamada;Grande Área;Área;Qtd Propostas;Valor Bolsa (R$);Valor OCC (R$);Total Geral (R$)
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 11/2011 - Seleção Pública de Propostas de Cursos para Formação de Recursos Humanos em Biotecnologia - CBAB;Chamada CNPq N º 11/2011 - CBAB;Ciências Biológicas;Genética;1;0;54.172;54.172
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 19/2011 - Cooperação Internacional - Convênios Bilaterais;Argentina - CNPq/CONICET;Ciências Biológicas;Genética;1;0;70.200;70.200
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 19/2011 - Cooperação Internacional - Convênios Bilaterais;Bélgica - CNPq/FNRS;Engenharias;Engenharia Biomédica;1;0;40.954;40.954
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 19/2011 - Cooperação Internacional - Convênios Bilaterais;Eslovênia - CNPq/MHEST;Ciências Agrárias;Agronomia;1;0;34.900;34.900
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 19/2011 - Cooperação Internacional - Convênios Bilaterais;Espanha - CNPq/CSIC;Ciências Agrárias;Agronomia;1;0;80.000;80.000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 19/2011 - Cooperação Internacional - Convênios Bilaterais;Itália - CNPq/CNR;Ciências Agrárias;Agronomia;1;0;55.440;55.440
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 72/2010;DFG;Ciências Biológicas;Zoologia;1;0;69.858;69.858
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 72/2010;DFG;Ciências Exatas e da Terra;Geociências;1;0;56.800;56.800
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/ICMBio Nº 13/2011 - Pesquisa em Unidades de Conservação do Bioma Caatinga;Chamada  CNPq/ICMBio N º 13/2011;Ciências Agrárias;Agronomia;1;40.080;67.992;108.072
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos Nº 18/2011 - Programa de Cooperação CNPq/MIT;Chamada de Projetos n° 18/2011;Engenharias;Engenharia Biomédica;2;118.946;49.264;168.210
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos Nº 18/2011 - Programa de Cooperação CNPq/MIT;Chamada de Projetos n° 18/2011;Engenharias;Engenharia Elétrica;1;109.014;25.000;134.014
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/ CNPq Nº 64/2010 - CI-Brasil 2010;Edital MCT/CNPq nº 64/2010 - CI-Brasil 2010;Engenharias;Microeletrônica;1;612.000;0;612.000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 73/2010 - JST - Japão;Edital MCT/CNPq nº 73/2010 - JST - Japão;Ciências Agrárias;Agronomia;1;61.778;138.520;200.298
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 75/2010 - RHAE Pesquisador na Empresa;Edital MCT/CNPq nº 75/2010 - RHAE - Pesquisador na Empresa;Ciências da Saúde;Farmácia;1;108.000;0;108.000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 75/2010 - RHAE Pesquisador na Empresa;Edital MCT/CNPq nº 75/2010 - RHAE - Pesquisador na Empresa;Ciências da Saúde;Saúde Coletiva;1;218.400;0;218.400
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 75/2010 - RHAE Pesquisador na Empresa;Edital MCT/CNPq nº 75/2010 - RHAE - Pesquisador na Empresa;Ciências Exatas e da Terra;Ciência da Computação;1;163.200;0;163.200
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 75/2010 - RHAE Pesquisador na Empresa;Edital MCT/CNPq nº 75/2010 - RHAE - Pesquisador na Empresa;Engenharias;Engenharia de Produção;1;206.700;0;206.700
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CNPq Nº 75/2010 - RHAE Pesquisador na Empresa;Edital MCT/CNPq nº 75/2010 - RHAE - Pesquisador na Empresa;Engenharias;Engenharia Elétrica;2;394.800;0;394.800
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/CT-MineralCNPq Nº 44/2010;Edital nº 44/2010 - Chamada 1- Pesquisa, desenvolvimento tecnológico e inovação aplicados às linhas temáticas do Projeto Tendências Tecnológicas;Ciências Exatas e da Terra;Geociências;4;303.840;779.703;1.083.543
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCT/SETEC/CNPq Nº 09/2011 - Apoio a Incubadoras de Empresas;Chamada MCT/SETEC/CNPq nº 09/2011- Apoio a Incubadoras de Empresas;Engenharias;Engenharia Biomédica;1;0;161.827;161.827
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;Antropologia;2;0;25.948;25.948
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;Ciência Política;1;0;14.840;14.840
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;Educação;1;0;17.753;17.753
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;Filosofia;1;0;13.000;13.000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;História;1;0;5.000;5.000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;Psicologia;2;0;30.100;30.100
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Humanas;Sociologia;4;0;49.643;49.643
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Administração;1;0;13.046;13.046
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Arquitetura e Urbanismo;1;0;13.000;13.000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Comunicação;2;0;21.200;21.200
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Direito;2;0;21.988;21.988
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Economia;3;0;41.422;41.422
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Planejamento Urbano e Regional;2;0;27.933;27.933
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Ciências Sociais Aplicadas;Serviço Social;1;0;13.000;13.000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Lingüística, Letras e Artes;Artes;1;0;20.000;20.000
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI /CNPq /MEC/CAPES Nº 07/2011 - Ciências Humanas, Sociais e Sociais Aplicadas;Chamada CNPq /CAPES N º 07/2011;Lingüística, Letras e Artes;Lingüística;1;0;13.001;13.001
2011;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada MCTI-CNPq / BBSRC-Reino Unido Nº 26/2011;Chamada CNPq/BBSRC n° 26/2011 - Segurança Alimentar e Bioenergia e Biotecnologia Industrial,;Ciências Agrárias;Agronomia;1;143.493;77.900;221.393
