Ano Fase,Fase Estat,Chamada Divulgação,Instituição Beneficiária Macro,UF Instituição Benef Macro,Grande Área,Área,Qtd Propostas,Total Geral (R$),,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Associacao dos Docentes da Universidade de Sao Paulo,SP,Ciências Sociais Aplicadas,Comunicação,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Centro de Estudos Avancados da Conservacao Integrada,PE,Ciências Sociais Aplicadas,Planejamento Urbano e Regional,1,3200,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Centro de Pesquisas Odontologicas Sao Leopoldo Mandic,SP,Ciências da Saúde,Odontologia,1,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Centro Federal de Educação Tecnológica de Minas Gerais,MG,Ciências Sociais Aplicadas,Comunicação,1,3000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Centro Universitario Franciscano,RS,Ciências Exatas e da Terra,Física,1,5000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Centro Universitario Senac,SP,Ciências Sociais Aplicadas,Desenho Industrial,1,6000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Comissao Nacional de Energia Nuclear,RJ,Ciências Exatas e da Terra,Física,1,3250,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Comissao Nacional de Energia Nuclear,RJ,Engenharias,Engenharia Nuclear,1,3200,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Conselho Nacional de Desenvolvimento Científico e Tecnológico,DF,Ciências Exatas e da Terra,Ciência da Computação,1,3400,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,DF,Ciências Exatas e da Terra,Ciência da Computação,1,5800,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Empresa Brasileira de Pesquisa Agropecuaria,DF,Ciências Agrárias,Agronomia,2,10000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Empresa Brasileira de Pesquisa Agropecuaria,DF,Ciências Agrárias,Medicina Veterinária,1,5900,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Empresa Brasileira de Pesquisa Agropecuaria,DF,Ciências Biológicas,Zoologia,1,3500,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Escola Bahiana de Medicina e Saúde Pública,BA,Ciências Biológicas,Parasitologia,1,3000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Faculdade de Engenharia Quimica de Lorena,SP,Ciências Biológicas,Bioquímica,1,3000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Faculdade Politecnica de Jundiai,SP,Engenharias,Engenharia Sanitária,1,2400,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Fundacao de Amparo a Pesquisa do Estado de Alagoas,AL,Engenharias,Engenharia Civil,1,3000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Fundacao de Apoio ao Desenvolvimento da Universidade Estadual de Londrina,PR,Ciências Exatas e da Terra,Química,1,3000,,
2006,Atendimento,Apoio à Participação em Eventos Científicos no Exterior - AVG,Fundacao de Apoio ao Desenvolvimento da Universidade Federal de Pernambuco,PE,Ciências Exatas e da Terra,Ciência da Computação,1,5000,,
